,feature,numeric
0,going,0
1,fuck,1
2,back,2
3,like,3
4,cocksucker,4
5,up,5
6,that,6
7,warning,7
8,revert,8
9,deleting,9
10,sorry,10
11,life,11
12,well,12
13,hi,13
14,your,14
15,right,15
16,work,16
17,stupid,17
18,before,18
19,talk,19
20,/,20
21,last,21
22,did,22
23,on,23
24,die,24
25,?,25
26,page,26
27,ass,27
28,could,28
29,else,29
30,',30
31,bad,31
32,delete,32
33,white,33
34,comment,34
35,would,35
36,edits,36
37,write,37
38,got,38
39,i,39
40,he,40
41,go,41
42,...,42
43,trying,43
44,gay,44
45,one,45
46,fucking,46
47,fucked,47
48,.,48
49,asshole,49
50,wp,50
51,make,51
52,mother,52
53,dreams,53
54,my,54
55,old,55
56,piss,56
57,in,57
58,antisemmitian,58
59,archangel,59
60,put,60
61,",",61
62,band,62
63,dick,63
64,!,64
65,maybe,65
66,wikipedia,66
67,stop,67
68,know,68
69,i'm,69
70,around,70
71,think,71
72,get,72
73,good,73
74,i'll,74
75,eat,75
76,say,76
77,you,77
78,-,78
79,come,79
80,bald,80
81,if,81
82,tonight,82
83,<UNK>,83
